id,store,title,price,info,search_value,link,image_url
1879,Jarir,Apple MacBook Pro 14 M3 Retina XDR Laptop,"SR
6,899","14.2"" M3 8 GB RAM",MacBook Pro,https://www.jarir.com/sa-en/default-category/apple-laptops-626813.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/0/f/4/20f4f8a7859bedfbebbb9484b886dc69a95cc98e_626813.jpg"
1880,Jarir,Apple MacBook Pro 14 M2 Pro Retina XDR Laptop,"SR
8,399","14.2"" M2 Pro 16 GB RAM",MacBook Pro,https://www.jarir.com/sa-en/default-category/apple-laptops-607894.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/3/e/b/c3eb4f31f42a183d8d12e430ac6ec615ec042dfe_607894.jpg"
1881,Jarir,Apple MacBook Pro 14 M2 Pro Retina XDR Laptop,"SR
10,399","14.2"" M2 Pro 16 GB RAM",MacBook Pro,https://www.jarir.com/sa-en/default-category/apple-laptops-607940.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/5/6/0/f560ed80dfef829826a1f47fd1272cfb7a1643ac_607940.jpg"
1882,Jarir,Apple MacBook Pro 14 M2 Max Retina XDR Laptop,"SR
12,899","14.2"" M2 Max 32 GB RAM",MacBook Pro,https://www.jarir.com/sa-en/default-category/apple-laptops-607941.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/5/a/4/c5a498e32e558e6d4164088341dae35b7722992d_607941.jpg"
1883,Jarir,Moshi iVisor MacBook Screen Protector,"SR
99",Anti-glare for MacBook Pro 13.3 Retina,MacBook Pro,https://www.jarir.com/sa-en/default-category/moshi-ivisor-screen-protectors-479877.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479877.jpg"
1884,Jarir,Dicota MacBook Screen Protector,"SR
169",Privacy for MacBook Pro 15 Touch Bar,MacBook Pro,https://www.jarir.com/sa-en/default-category/targus-screen-protectors-484426.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/484426.jpg"
1885,Jarir,KB Covers Keyboard Protector,"SR
51",for MacBook Pro 13 Touch Bar/MacBook Pro 15 Touch Bar Deep Blue,MacBook Pro,https://www.jarir.com/sa-en/default-category/kb-covers-mac-book-pro-w-keyboard-accessories-526703.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/526703.jpg"
1886,Jarir,Case-Mate Hardshell Case,"SR
129",for MacBook Pro 16 Smoke,MacBook Pro,https://www.jarir.com/sa-en/default-category/case-mate-other-computer-accessories-539826.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/539826.jpg"
1887,Jarir,Speck SmartShell Front and Back Cover,"SR
119",Hardshell Case for MacBook Pro 13 Touch Bar,MacBook Pro,https://www.jarir.com/sa-en/default-category/speck-smartshell-laptop-accessories-483258.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/483258.jpg"
1888,Jarir,Speck Hardshell Case,"SR
119",Cover for MacBook Pro 13,MacBook Pro,https://www.jarir.com/sa-en/default-category/speck-laptop-accessories-407546.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/0/407546.jpg"
